Speed(km/h),Effective_Cd,Drag_Force(N),Efficiency_Score
0,0.3383,0.0000,94.3434
10,0.3383,4.2367,94.3434
20,0.3383,16.9468,94.3434
30,0.3383,38.1302,94.3434
40,0.3383,67.7871,94.3434
50,0.3383,105.9174,94.3434
60,0.3383,152.5210,94.3434
70,0.3332,204.4841,95.3582
80,0.3232,259.0688,97.3575
90,0.3232,327.8839,97.3575
100,0.3199,400.6854,98.0138
110,0.3199,484.8293,98.0138
120,0.3215,579.8575,97.6954
130,0.3215,680.5272,97.6954
140,0.3215,789.2505,97.6954
150,0.3215,906.0274,97.6954
160,0.3215,1030.8578,97.6954
170,0.3215,1163.7418,97.6954
180,0.3215,1304.6794,97.6954
190,0.3215,1453.6706,97.6954
200,0.3215,1610.7153,97.6954
